segment,region,adr,occupancy,satisfaction,service_quality,cleanliness,value_for_money,likelihood_to_return
Luxury,Resort,232.42307557238843,77.96938934251305,4,5,5,3,4
Upscale,Resort,233.68311884688092,76.89442528333755,3,5,5,2,5
Luxury,Urban,278.8355093043253,92.29042642653279,5,5,5,2,5
Midscale,Urban,122.55507182445434,68.71112504923668,2,4,4,1,3
Budget,Suburban,55.87674472414368,70.91182175895044,2,3,5,4,3
Upscale,Urban,155.77124137645052,84.8693294146347,3,4,5,2,4
Budget,Resort,119.68632563050973,87.99720301376792,3,5,5,3,4
Budget,Suburban,72.26575039195768,71.84824246673533,4,2,4,3,2
Midscale,Urban,96.16123848388555,74.49898628672267,3,4,3,1,3
Upscale,Resort,170.46655917562407,87.81000653061498,4,2,4,3,5
Upscale,Urban,194.3621269354344,80.97284068608371,5,5,3,1,3
Luxury,Urban,234.32790154080686,82.6913856046867,5,4,5,1,5
Budget,Resort,112.51959194076298,71.90040077406971,3,2,3,3,3
Upscale,Resort,235.19291715276563,80.405909225497,4,4,5,2,5
Budget,Suburban,59.35221996791624,72.4464959675246,2,3,2,3,4
Upscale,Urban,193.1766078706737,83.48718562664656,3,3,4,2,5
Luxury,Resort,295.39427561457893,80.36255851829021,4,5,5,2,5
Midscale,Resort,131.88355722447156,72.20345390979399,4,4,4,2,3
Budget,Suburban,101.06692554862956,73.29288028632575,3,3,2,3,3
Midscale,Resort,182.9253839319929,72.72481634653082,4,4,3,1,5
Budget,Resort,151.82413232486147,91.5540267784859,3,3,3,3,4
Budget,Resort,109.34497242749599,63.77575916460298,2,3,2,3,2
Luxury,Urban,223.39201025996618,91.06172723229164,3,4,5,2,5
Luxury,Suburban,242.77907374452195,79.60670505347167,5,5,5,1,5
Upscale,Resort,225.46330629460624,58.81296167454288,4,4,5,3,5
Budget,Resort,183.50921559641102,71.89160763335711,3,4,4,2,5
Midscale,Suburban,152.9873231512488,87.67930967352663,2,4,4,2,4
Budget,Resort,108.37793088715856,61.405919478018305,3,4,3,2,4
Budget,Urban,74.83056774517613,74.318367325563,3,3,4,4,4
Upscale,Urban,205.52472408609745,65.94126675833554,4,5,5,1,5
Budget,Resort,169.8310623135848,77.60371355069731,3,3,2,1,5
Midscale,Suburban,80.42165086229268,83.45407964790556,3,4,3,2,3
Budget,Suburban,50.48745978533768,69.9671182059564,3,2,2,5,3
Upscale,Urban,233.69237469756058,88.91767917666206,5,5,4,2,5
Budget,Urban,145.9296745541745,83.12673493638314,4,3,4,1,5
Upscale,Urban,194.86391036116194,89.88899911208931,4,5,5,2,4
Midscale,Resort,119.49424289403896,88.10661601340601,3,3,4,4,3
Luxury,Urban,246.4357368144189,89.86153404566261,4,4,5,2,5
Upscale,Urban,219.18547101187548,82.67218419417281,4,4,5,3,5
Luxury,Resort,333.8433393719328,83.97661543283891,4,5,5,1,5
Luxury,Suburban,229.60308649568665,80.56051158367907,5,5,5,2,4
Midscale,Resort,144.2138716508999,79.40170074689468,4,2,4,3,4
Midscale,Suburban,117.632182906238,65.70052545185155,2,5,2,3,3
Upscale,Resort,213.6219650973021,72.601902099541,3,4,4,1,5
Luxury,Resort,257.2666173452367,75.31034650268894,5,4,4,1,5
Midscale,Resort,174.79710434297965,71.75009619752254,2,5,3,2,5
Midscale,Urban,174.7611076947808,74.17514648616468,4,4,3,4,5
Upscale,Suburban,160.32801068213627,75.8580947409552,4,5,4,2,4
Upscale,Resort,225.64375501399743,71.0777633400474,4,5,3,2,4
Luxury,Urban,266.3021258299334,58.308835051326504,4,4,3,2,5
Budget,Resort,131.53915234527128,95.4367982985548,2,4,4,2,4
Midscale,Resort,154.6594227397535,68.02164288871928,3,3,4,1,5
Midscale,Resort,189.94690144784028,87.8184877730557,4,4,4,3,5
Budget,Urban,105.7950783360478,68.055326385586,2,3,5,4,5
Midscale,Resort,147.42896370123154,80.89431501043977,3,4,3,1,4
Luxury,Urban,275.76142826217654,79.66198233926141,4,5,5,2,5
Budget,Resort,143.9324381445231,81.7710455768096,4,4,4,4,4
Budget,Resort,118.13792842145848,56.2358933958934,4,2,3,1,3
Midscale,Resort,93.04588972947668,76.09860773715958,3,3,4,3,4
Upscale,Urban,230.90410966468292,77.74307042243196,5,5,4,3,5
Upscale,Urban,171.2342362840904,90.72271534308112,4,4,3,3,4
Budget,Resort,111.2714023094056,71.1376440478294,3,5,2,2,4
Luxury,Urban,300.46576849487434,78.13802403931767,5,5,5,1,5
Midscale,Suburban,62.54900278744608,54.1124308665992,4,4,1,2,3
Budget,Resort,92.3363909892224,75.33579695238625,4,2,2,3,3
Luxury,Urban,241.2637322812152,85.83960903292189,5,5,5,2,5
Midscale,Urban,107.17796574680268,71.9411815859079,2,3,2,2,2
Budget,Urban,127.58220809911873,69.27016921796726,4,3,4,2,3
Upscale,Resort,241.61240334108726,83.26781690374897,5,5,5,2,5
Upscale,Resort,222.52190327751308,66.93744869809157,3,4,4,1,5
Luxury,Resort,269.0148543568288,83.90783807598666,5,5,4,1,5
Luxury,Suburban,219.40800060969656,88.90019397453182,3,5,4,3,5
Midscale,Urban,125.79817319481666,73.3878568794119,3,5,3,3,3
Luxury,Suburban,216.8823408429543,74.79237839662369,5,5,5,1,5
Upscale,Suburban,172.0706398467494,73.39135620248847,4,4,4,3,5
Budget,Resort,142.7315841348189,80.56850004602084,4,1,4,3,3
Midscale,Resort,148.58555782453112,63.213937270849456,3,4,5,1,4
Midscale,Suburban,117.97475997417143,66.29547792442598,3,3,2,4,3
Luxury,Resort,220.35518122762818,63.88203086994029,5,5,4,1,5
Upscale,Urban,191.89592432893963,75.00660789186013,4,5,5,2,5
Midscale,Resort,138.0389535906276,75.1435368596802,3,2,5,3,2
Budget,Urban,127.46332949507712,75.95947285374338,2,4,4,4,2
Luxury,Suburban,259.64561019084175,78.70668656897998,5,4,3,2,5
Upscale,Urban,135.087615472401,57.11079570717453,3,5,3,4,4
Upscale,Suburban,183.05793796180174,64.55188015432462,4,4,3,2,3
Upscale,Resort,195.85679015705392,74.8750732385305,5,5,4,2,4
Midscale,Urban,135.9014744580549,78.1941194774901,5,3,4,2,3
Midscale,Urban,162.46252067538597,78.37814826998682,4,5,3,5,5
Upscale,Urban,207.2291829755745,67.80201910439956,4,3,5,2,5
Budget,Urban,79.52441886643297,83.39775176783492,2,4,3,5,1
Budget,Resort,128.00166892440544,75.57369775649114,3,5,3,3,3
Luxury,Urban,248.32311921960354,76.44062915979295,3,5,5,1,5
Upscale,Suburban,191.29638340116216,80.33849057819184,3,4,3,3,5
Midscale,Urban,100.71318536175016,82.55642280681795,4,3,4,4,3
Midscale,Resort,180.49386130206025,83.2403040999101,5,4,4,2,5
Midscale,Resort,194.77740220490819,73.83154247184417,3,4,3,2,5
Luxury,Resort,214.7618747703555,66.779784759507,5,5,5,3,5
Midscale,Resort,176.19366492401275,85.6770863102732,3,5,4,2,3
Midscale,Urban,130.92551044821346,64.78556769369963,4,4,3,2,4
Midscale,Suburban,112.75554377545107,67.64574324813681,5,4,4,1,5
Upscale,Urban,183.24814631100386,88.78403199165186,3,5,4,3,5
Luxury,Suburban,247.30243267334288,74.6204869132465,3,5,5,2,5
Luxury,Suburban,253.20700763679997,77.57043489025591,4,5,4,1,5
Midscale,Resort,174.82825253349236,81.72388509034442,4,4,4,2,5
Budget,Suburban,67.34268077943712,86.04540536333904,3,3,3,3,3
Midscale,Urban,129.39677177827775,65.33443012068439,4,3,1,2,4
Midscale,Resort,156.49215619952975,83.69151751228075,3,3,4,2,4
Midscale,Urban,134.31772121720493,75.08625823782526,5,3,3,4,4
Upscale,Resort,215.12654845583012,92.81594884043386,5,5,4,2,5
Luxury,Urban,239.3851127864069,89.18139370748496,4,3,5,2,5
Midscale,Suburban,124.6145145919626,74.52046452523973,3,4,2,3,4
Upscale,Resort,185.0425333532429,69.85429891774848,4,3,3,2,5
Midscale,Suburban,72.89296234681882,59.93282419639455,3,3,3,3,3
Upscale,Resort,216.44443707718725,68.55829741629859,4,4,4,2,5
Luxury,Suburban,240.38225010147033,75.19273643782773,5,4,4,1,5
Budget,Suburban,95.63548932281552,61.74975897284646,3,2,3,2,3
Upscale,Suburban,178.15190169802253,75.69159281351445,3,3,4,3,4
Upscale,Resort,215.49468440365894,73.26236641519185,4,5,4,1,5
Upscale,Suburban,177.28999029490166,96.87225573315192,4,4,3,1,5
Budget,Suburban,45.48755661572169,82.81696566346031,2,3,3,5,3
Upscale,Resort,181.48475740346325,82.34218535963124,4,5,5,3,4
Upscale,Resort,179.61280008012938,71.59958844567552,3,4,4,2,4
Midscale,Resort,161.11821340808314,96.61326806474226,4,4,3,3,4
Midscale,Suburban,126.53675936702348,72.27472200848639,4,3,2,4,4
Midscale,Resort,182.6598061785661,76.93775505017929,3,5,3,1,4
Upscale,Urban,227.0925363262537,59.781447668129786,3,5,3,2,5
Luxury,Suburban,238.23001468937093,90.47486314496362,5,5,5,1,4
Upscale,Suburban,156.79521376639556,75.72409048366357,4,4,4,2,5
Upscale,Suburban,143.46807642526093,65.58346006210084,2,4,4,3,2
Midscale,Resort,166.35170549116827,76.57678156476133,4,2,4,4,3
Budget,Urban,98.39111812992124,84.7083736513667,1,3,1,4,5
Midscale,Urban,131.87176708344518,76.09147740278365,3,4,5,3,3
Luxury,Resort,263.07442336793594,83.5569795692521,5,5,4,1,5
Luxury,Urban,234.8533775492826,89.99206990927384,5,4,5,3,4
Luxury,Suburban,205.42632504932888,69.04777654382062,4,4,4,1,5
Budget,Urban,136.7207590459479,72.97600958369586,1,3,3,1,3
Upscale,Urban,196.26544583233792,84.75370864268871,4,4,5,1,5
Upscale,Resort,199.24820608416758,64.01861474609706,3,5,5,2,4
Luxury,Urban,220.5202230110055,90.79341857616362,4,5,3,1,4
Luxury,Urban,264.82159342276594,69.81418190141167,5,5,4,1,4
Midscale,Suburban,97.56749862048916,76.58995718173877,3,3,2,2,2
Luxury,Suburban,227.8527112164462,80.8871489531916,4,5,4,2,4
Budget,Resort,114.82128111775542,68.64988854471122,3,2,4,1,4
Upscale,Resort,229.4013847175626,81.33966814682262,4,3,5,2,5
Budget,Resort,118.28411852367903,72.80897112663048,3,4,3,3,4
Upscale,Resort,205.5499645742323,87.1614436499141,4,4,5,1,5
Midscale,Resort,219.32096196328,65.32039281083483,5,5,3,2,5
Midscale,Suburban,137.18010493943376,88.46412258544923,3,5,2,2,3
Budget,Urban,103.2504557825468,71.60172956608028,2,4,2,3,4
Upscale,Suburban,141.7200500843008,68.25099194021405,3,4,2,1,4
Midscale,Resort,189.4782420888269,66.94963725685574,4,3,5,2,5
Luxury,Resort,256.68376109518084,91.06650683618693,5,4,3,1,5
Budget,Suburban,68.79839566930876,57.36617911052852,1,4,2,3,4
Upscale,Suburban,181.3146437130244,78.63223752485246,4,5,3,1,5
Luxury,Suburban,219.7171971168518,72.82699103607287,5,3,5,2,5
Luxury,Suburban,220.81975440228254,71.14765819382788,3,5,5,2,5
Upscale,Suburban,171.0077285350769,75.23282315481858,4,3,3,2,4
Upscale,Resort,213.4867783157713,79.12727799095752,5,5,5,4,4
Luxury,Resort,273.76868469977853,77.26049346339158,5,5,5,1,5
Budget,Suburban,64.76564912645394,65.11387839426456,2,3,4,2,2
Luxury,Resort,286.2724806450781,88.74139223632992,5,5,5,1,5
Midscale,Urban,151.66821668534806,82.67791476659526,4,5,3,1,4
Midscale,Urban,172.35654539882609,93.38245542414734,3,4,4,3,4
Luxury,Resort,269.5191930164903,70.89330362185012,4,5,5,1,5
Budget,Suburban,102.91648628208895,64.0354142490815,3,3,3,3,4
Luxury,Urban,223.369591078928,70.78272615678205,5,5,2,1,3
Luxury,Resort,263.87283575266395,69.08126620381498,5,5,5,1,5
Midscale,Suburban,76.17745376241355,92.88841752218437,2,3,3,3,3
Upscale,Resort,217.73603904359226,53.61401261595782,4,3,5,4,5
Luxury,Urban,270.52153451808584,66.70281793013936,5,5,5,1,5
Luxury,Suburban,195.84936453536523,70.2406348953262,4,5,3,1,4
Luxury,Suburban,231.1966118039197,76.85152284084985,5,5,5,2,4
Upscale,Resort,187.1533431447545,76.00668361918548,3,4,4,3,4
Budget,Suburban,82.34607137735543,83.44195770475784,2,5,4,2,4
Luxury,Resort,241.1271540147015,92.45301310473481,4,4,4,1,5
Luxury,Resort,301.61793289557187,71.64930661484006,5,5,5,1,5
Luxury,Resort,278.88980169079076,83.40655666405236,5,4,5,1,5
Midscale,Suburban,84.10143265646333,56.48401720309086,3,3,3,3,2
Budget,Resort,117.92694719967875,83.63228369977855,4,4,1,1,4
Midscale,Suburban,103.3583243715239,65.39146131716019,3,2,3,3,3
Upscale,Resort,200.88846564752038,82.48397881662049,4,4,4,1,4
Luxury,Resort,242.56627271085213,69.75301227557199,3,5,5,1,5
Upscale,Urban,175.3697461007747,77.18371866516947,4,5,4,3,5
Budget,Urban,95.66680942944974,73.75242657035734,3,3,3,3,4
Upscale,Suburban,122.91869481794659,64.18906140611206,3,3,4,3,5
Luxury,Suburban,237.5590346295686,83.29848843940688,4,4,4,1,5
Midscale,Resort,194.32790965147456,100,5,5,4,2,5
Budget,Suburban,89.55218000864798,73.78566020778264,2,3,3,3,3
Budget,Suburban,50.036676061871574,67.83927300531975,2,4,2,3,3
Midscale,Suburban,93.57834457161874,68.59126550553816,2,1,4,2,4
Upscale,Suburban,148.3576936379921,72.32929303165437,3,5,3,3,3
Budget,Suburban,85.14733538467262,75.09396079502065,3,2,2,3,2
Midscale,Suburban,109.01201156871527,65.64295964793237,1,3,3,2,5
Midscale,Resort,136.37358743019422,90.67132093443836,3,4,4,4,5
Budget,Resort,82.20038473538831,79.3118589239569,3,3,3,3,5
Luxury,Urban,273.9824290744651,90.19342355452898,4,5,5,2,5
Luxury,Urban,233.90091374062806,93.19261256022642,4,3,4,2,5
Luxury,Urban,272.4253018109447,70.00355040453415,5,5,5,1,5
Midscale,Resort,161.82677288953477,67.10384782431515,4,3,5,1,4
Luxury,Urban,278.04427537357805,84.40705161565833,4,3,5,1,5
Budget,Resort,147.3542875262422,71.09523121802849,5,3,3,3,4
Budget,Urban,64.41764026255979,77.68831133484491,2,3,2,3,2
Midscale,Urban,165.5575914386121,75.9246955703388,2,3,3,2,4
Budget,Urban,117.19537697302323,81.74721592638886,3,3,3,3,5
Luxury,Urban,252.31362775847683,64.02182930582478,5,5,5,3,4
Upscale,Suburban,159.50627361074072,83.4077742974729,3,2,4,2,5
Budget,Suburban,82.2099596425409,54.83307452404748,3,4,2,3,3
Budget,Suburban,86.51252025885209,73.2771771715739,3,3,2,4,4
Luxury,Suburban,187.1489168171368,82.1909554103762,3,5,4,3,4
Luxury,Urban,296.47142452768213,73.91029124544364,5,5,5,1,5
Midscale,Resort,124.80261291590138,89.99910351567158,2,5,3,2,3
Budget,Resort,67.97089701827738,74.90011029732263,3,3,3,2,4
Luxury,Resort,303.8559846412578,66.05665338841183,5,5,5,1,5
Midscale,Suburban,72.2101936386697,88.50781955983929,4,3,1,4,3
Budget,Resort,114.39642164918334,77.6817717485327,3,4,4,3,3
Budget,Suburban,36.33677761221454,68.69181408358668,3,1,3,4,2
Budget,Urban,55.135392266307775,79.45541277641539,3,3,2,4,3
Upscale,Urban,178.9471500987376,64.65573172792779,3,5,4,2,3
Upscale,Suburban,176.17780061247333,77.06381826552553,4,4,5,2,5
Midscale,Suburban,117.89748450294215,77.54722409337441,2,3,3,3,3
Budget,Suburban,53.93815459202037,42.94456602882764,2,2,3,4,1
Luxury,Urban,259.6060738232294,76.28335509359579,5,4,5,1,5
Midscale,Resort,157.53262131256233,69.39510988751663,4,3,3,3,4
Luxury,Urban,259.41188778596387,83.93174818791722,3,3,5,2,5
Upscale,Resort,198.84904262016988,89.08589525263099,3,5,3,3,5
Midscale,Urban,149.02374756525856,77.43751107178183,4,5,4,2,4
Upscale,Urban,162.93243722521441,68.49563247832259,4,3,4,1,3
Midscale,Resort,169.4379348943641,76.00963289540083,3,4,3,3,5
Upscale,Suburban,151.51480738802096,65.9583099622446,3,4,5,2,4
Budget,Urban,91.6100351992941,63.5793738432905,3,3,3,3,4
Budget,Resort,137.645102340845,50.47173900145991,4,3,4,4,2
Budget,Resort,109.31070444954665,71.76275709398656,3,4,3,1,3
Budget,Suburban,45.36624371156056,77.69260039045402,3,2,2,4,2
Upscale,Suburban,129.92404146219403,77.91141750574373,4,4,3,5,4
Midscale,Resort,176.72581858411718,66.58321785953122,4,5,4,4,5
Budget,Resort,61.66781556652379,67.78223884838872,1,3,2,1,2
Midscale,Urban,129.57711066092438,86.49000692697423,3,3,3,2,3
Budget,Suburban,74.53640969114142,80.37482604933078,3,3,3,1,3
Upscale,Urban,155.62598979620236,81.62001941528905,5,2,3,3,4
Upscale,Urban,190.17407396809332,74.39532173030797,5,4,5,2,5
Budget,Resort,136.7560004733559,74.9432244896977,3,5,4,1,4
Luxury,Urban,214.38928531725222,67.43309090163726,4,5,3,3,5
Midscale,Suburban,87.81965102859051,73.90198600283608,3,4,3,1,3
Upscale,Suburban,204.0565610995957,82.20801588462632,4,4,4,2,4
Budget,Resort,103.63438946318173,74.69348751727664,2,2,1,3,3
Upscale,Suburban,135.84763850177953,77.58040765517048,3,3,4,3,4
Midscale,Resort,138.55703595624533,51.495792973377824,4,4,3,3,4
Luxury,Resort,269.14201501050235,83.63025064670391,5,4,3,2,5
Luxury,Suburban,234.6479971563291,76.11322809978469,5,5,4,1,5
Budget,Resort,102.40831832711473,61.48112140026926,2,3,3,3,5
Luxury,Resort,285.04298997918863,78.38736099818266,4,5,4,1,4
Budget,Suburban,87.54881868188646,75.40145826902751,5,4,3,4,3
Budget,Suburban,78.40453780550288,63.581821343881366,2,3,3,3,2
Budget,Resort,138.74564253238526,75.76306773738435,3,3,4,2,4
Budget,Resort,99.97794162028617,62.21077593634687,3,2,4,2,3
Upscale,Suburban,156.93146517339972,65.46050563743601,5,3,3,5,3
Midscale,Urban,156.6072147875339,94.40574958507166,4,3,2,3,5
Midscale,Urban,141.3739470808697,83.39551265482595,3,3,4,4,3
Midscale,Resort,165.31737584603468,60.819445279360004,5,4,3,2,4
Upscale,Resort,211.2715169930022,76.07437160417396,3,3,4,1,5
Budget,Urban,104.57292126673912,75.49447961378944,3,2,2,2,3
Midscale,Suburban,109.38317679070441,71.30066250397473,4,3,4,4,3
Midscale,Suburban,82.51522504472712,84.25269841953406,2,4,2,4,3
Budget,Resort,124.34998327681197,97.5619148925717,3,3,4,4,5
Midscale,Suburban,98.61583194126801,68.15447721834873,3,3,4,4,3
Budget,Resort,155.8944715450384,84.68310999695146,2,4,4,3,2
Budget,Urban,86.7602457596781,84.6533257815023,1,2,3,4,2
Midscale,Suburban,113.80378490179653,78.61367215544425,3,2,2,2,5
Upscale,Suburban,110.66846689759551,79.13022863191884,5,3,3,5,2
Budget,Urban,83.52803098247014,85.60292581139439,2,2,4,4,2
Upscale,Resort,189.28868377793157,78.78088480650264,3,5,4,1,3
Luxury,Suburban,260.7925885766772,60.64906025051526,5,5,5,2,5
Budget,Resort,116.22285122662008,79.12139980290225,4,4,5,2,3
Midscale,Resort,163.62390686641274,63.66729901676386,3,4,4,3,4
Budget,Urban,107.50742280122573,68.17857944497513,4,3,3,2,3
Luxury,Suburban,216.72221301838354,76.27370578560432,4,5,5,3,5
Midscale,Suburban,117.51787854210123,53.479594137116536,2,3,4,2,3
Midscale,Urban,177.66560101299544,75.27067365001318,4,4,5,3,5
Midscale,Urban,155.42481774892005,85.08806248153059,4,5,3,2,5
Upscale,Suburban,177.8600014550762,70.88632717308691,4,5,4,3,4
Budget,Resort,99.13692935620257,59.10056289063911,3,3,3,3,3
Budget,Resort,124.47618848192013,71.95972985966267,3,4,4,3,5
Luxury,Resort,287.33366091788326,75.75869339942302,4,5,5,1,4
Budget,Suburban,53.622459247710694,75.25363458914289,2,3,3,3,3
Budget,Suburban,72.93551370839832,66.70181350502764,4,4,3,3,4
Luxury,Resort,329.3382022599846,76.16089466645874,4,5,5,1,5
Upscale,Urban,165.63666920096446,80.20237637216565,3,4,4,3,4
Budget,Resort,133.8236912801953,80.31139822912277,3,2,2,2,3
Midscale,Urban,113.15447175619335,85.97622894117495,2,3,5,3,4
Budget,Resort,128.79991923201104,85.8059167184047,2,4,2,3,4
Midscale,Resort,133.954380606476,68.80244147573957,3,3,2,2,3
Luxury,Resort,294.75877879214835,90.84631017352956,5,5,5,4,5
Midscale,Suburban,78.28900253003121,59.88417539513037,3,3,3,4,3
Budget,Urban,100.5119416176779,75.6209117411474,3,3,2,3,2
Budget,Urban,133.5329064693585,55.46869652970885,2,3,3,1,2
Budget,Resort,114.43814781376398,78.62456914625051,5,3,3,3,2
Budget,Urban,97.34006014490909,63.15931566802686,3,3,2,3,2
Luxury,Suburban,265.10475779474393,79.86604264186565,5,5,5,2,5
Upscale,Suburban,210.9074138290372,81.17662712634167,3,3,5,2,4
Budget,Resort,182.07762781766684,62.28440452372333,4,4,5,1,5
Budget,Suburban,60.15936688923941,81.3844268829956,2,3,3,3,3
Budget,Urban,73.6215852335243,83.9097372336372,4,2,3,5,3
Midscale,Urban,156.27885856043753,79.02476710905658,3,4,4,2,4
Midscale,Suburban,120.8898861064209,62.48384053385282,3,3,3,2,5
Upscale,Resort,242.1302058591661,64.83843988612689,5,5,4,2,5
Midscale,Urban,143.75533419209245,60.7149485358331,3,4,3,2,5
Upscale,Urban,194.02048398622398,73.29759432692735,3,3,4,3,4
Budget,Urban,137.84396586082892,74.44634280979712,3,5,2,3,5
Budget,Urban,104.04976924937414,77.6932284185081,2,3,3,3,4
Luxury,Urban,277.0558781736085,89.03934503962394,5,5,5,1,5
Budget,Urban,112.11293862496454,69.29969877305663,3,2,5,2,3
Budget,Resort,118.88820199021364,85.76644275792795,3,4,4,4,3
Budget,Urban,86.629720919243,69.76750797806325,2,3,3,4,2
Luxury,Suburban,221.5613039119396,63.85488427648907,5,5,5,1,5
Upscale,Resort,161.2868257969248,83.58637090993076,4,4,2,2,3
Budget,Resort,151.96137541247379,81.64824882824995,3,5,3,3,3
Luxury,Resort,240.12222926979885,80.78440082156062,5,5,5,1,5
Budget,Suburban,55.23248791725667,77.12129049560207,2,3,3,2,4
Upscale,Suburban,150.74172385675615,90.33070209319631,2,4,3,1,4
Upscale,Urban,220.1382089171964,75.50441609400157,5,5,5,3,5
Luxury,Resort,281.44626760620423,91.35786482589528,4,5,5,1,5
Midscale,Suburban,133.60563223441898,69.83565207330642,3,3,3,3,4
Budget,Urban,92.64420376268578,87.55393326262828,4,4,3,3,3
Budget,Urban,141.78421121100263,74.0153934869816,4,3,3,2,3
Budget,Resort,132.17494545892205,72.95895438441306,3,2,3,3,3
Midscale,Suburban,123.68235543420208,81.14967822062701,3,5,3,3,5
Budget,Suburban,91.93827459922589,79.75037621792451,3,3,3,5,4
Midscale,Urban,102.94419368177631,88.52841691344884,4,3,3,3,3
Budget,Urban,99.73689968997613,78.68930515927565,3,5,3,4,3
Luxury,Resort,285.3606062135907,91.49268924819964,4,5,3,1,5
Budget,Resort,100.8317687915805,80.87338876696259,3,2,3,2,4
Upscale,Urban,190.30426299912742,72.81242737174377,4,4,4,3,5
Upscale,Suburban,141.96649172879071,88.35154505505214,3,2,4,3,2
Midscale,Urban,145.49368574199036,66.13746232241331,4,3,5,3,3
Midscale,Suburban,65.37929441945293,82.82881951207332,3,3,3,5,4
Budget,Urban,107.11023971683747,65.33273963031438,2,3,1,3,2
Upscale,Resort,194.09316266178473,87.55311285897474,5,3,4,1,3
Luxury,Resort,303.4834974352977,81.01937738783653,5,5,4,1,5
Budget,Suburban,20.67223754616912,71.17784221057913,3,2,4,4,3
Budget,Suburban,71.06283273264633,92.15689958410184,3,2,5,5,3
Midscale,Resort,154.4772589384385,68.57691893135625,2,4,4,2,4
Budget,Urban,123.51309032820997,85.41502954650723,4,2,3,3,2
Midscale,Suburban,70.499722279679645,66.02841710316565,2,1,2,4,3
Midscale,Suburban,96.28172462337581,74.10061223668177,3,3,4,4,3
Midscale,Suburban,127.79653793404702,73.87822432660828,4,3,2,4,4
Midscale,Urban,155.32184056496249,95.62689622062273,4,2,4,3,4
Luxury,Suburban,238.90835268997301,92.27828039149915,4,5,5,2,5
Luxury,Urban,267.21425768172196,81.44233931765065,5,5,5,1,5
Luxury,Resort,238.28645714930957,80.8742005691829,3,5,4,2,4
Luxury,Resort,301.27655492946343,82.8682110350135,3,5,5,1,5
Upscale,Resort,215.39440158625206,64.83262268210278,3,4,5,3,4
Luxury,Suburban,184.63232286757807,60.544584094234146,3,4,3,3,4
Upscale,Suburban,155.66371674619728,74.35508538737274,4,4,4,3,4
Upscale,Resort,233.84419403179993,77.30098740688986,4,4,5,3,5
Upscale,Resort,227.5946896119454,71.83893351615038,3,5,4,2,4
Budget,Urban,84.21787623993558,64.44554060788201,3,3,2,3,3
Upscale,Suburban,182.68979420524636,76.78098145599877,3,5,5,3,2
Upscale,Suburban,150.07591685665886,93.84085667908622,4,5,4,3,5
