adr_usd,review_score,dist_center_mi,room_count,service_score,repeat_visit_intent,loyalty_index
252,9.11,0.8,289,41.8,22.28650314,31.24872316
148,7.6,7.1,255,44.6,34.83949203,0.164513543
65,6.35,18,386,31.1,22.95797938,0.042168019
166,8.77,7.6,380,40.2,23.57537496,0.451092161
174,7.97,2.8,342,35.3,14.0595612,0.687395956
258,9.37,0.2,309,51.4,30.15189746,42.00005528
212,7.87,3.3,290,42.9,23.45753668,4.370684025
187,7.37,7.7,441,54.3,39.97686242,1.347203901
184,8.65,5.8,301,48.9,28.43507258,1.092072097
168,7.91,7.5,228,60.7,40.32396318,0.578140176
239,9.03,0.2,289,43.4,16.79052323,16.42121449
168,7.88,10.4,146,42.1,27.29668864,0.531547333
200,8.19,6.1,477,45.2,28.01740492,2.429772993
228,8.38,0.2,282,37.3,29.94467312,9.615905479
216,8.19,4.3,242,45.7,28.72604668,5.342482857
180,7.9,6.9,367,52.9,30.2563333,0.881205802
233,8.94,5.3,275,36.5,27.44632743,12.26610047
207,8.58,6.1,405,51.6,30.05422182,3.368618609
265,8.47,2.4,415,43.5,25.94267659,59.20834655
109,7.53,12.9,448,52.3,33.89571951,0.042770239
240,9.08,2.3,379,49.9,22.87838616,17.35275558
157,7.78,7.5,234,40.3,26.53294182,0.295086575
178,7.72,3.6,316,63.4,42.80525641,0.867532895
203,8.94,2.1,290,61.4,38.46229681,2.911387206
159,8.28,7.7,264,46.6,26.91725276,0.298111217
194,8.74,11.5,250,41.2,24.33303617,1.688825732
240,9.21,1.1,318,38.2,13.1646624,17.38063202
204,8.37,2.8,230,40.3,35.74023447,2.915018027
245,9.5,6,185,45.3,30.74312682,22.12719058
186,7.83,8.6,377,54.2,26.51458665,1.268683285
161,8.22,7.7,227,40.3,22.07653238,0.341774758
136,8.09,7.2,228,38.7,29.50101215,0.043075381
188,7.82,5.8,301,57.6,37.62611219,1.35230163
136,7.51,2.9,348,52.8,35.33650652,0.097166698
180,8.72,0.2,276,49.8,39.06742812,0.906610184
181,8.65,3.3,438,47.1,25.63660266,0.97127346
167,7.57,7.1,274,31.8,24.74241033,0.459677187
163,7.88,9.9,165,47.5,25.36986413,0.425030012
162,8.43,6.1,294,35.6,28.25453861,0.362935628
60,7.01,10.9,434,38.2,29.59890483,0.01906785
139,6.97,14,324,47.8,21.62787892,0.175504908
220,9.29,2.2,339,46,24.22660327,6.502614158
148,6.95,11.6,286,47.8,34.23529978,0.171549731
176,8.1,4.2,411,33.2,27.0584667,0.801910944
197,9,4.1,283,45.5,26.15282604,2.140805879
189,8.29,4.5,315,56.1,31.91127422,1.43836852
123,7.45,5.3,201,33.5,23.18032896,0.066869679
120,7.58,7.4,252,51.1,24.67821173,0.016002455
157,8.12,4.5,241,55,31.16164931,0.360468986
180,8.51,4.6,451,41.3,20.77325697,0.876308995
264,9.12,3.5,423,74.4,61.1078789,56.52728928
146,7.54,8.6,312,38.4,22.28198418,0.24687977
183,7.89,4.7,100,57.1,38.47382327,1.038624734
207,8.38,4.8,248,31.2,15.63301438,3.368226333
208,7.92,7.6,345,63.1,47.52320079,3.556405585
208,8.92,1.1,243,60,41.97505402,3.604770098
258,8.94,0.2,219,40,19.91788732,41.98914802
123,7.03,8.8,237,49.2,28.11043488,0.037555962
94,7.06,7.1,145,73.6,47.34899721,-0.034385289
191,8.26,6.8,494,42.1,33.88391234,1.554533853
121,6.95,9.5,292,44.3,26.58490618,0.010541845
233,8.08,4.4,339,40.1,31.04097856,12.19936374
88,7.34,7.2,317,46.4,23.56800256,-0.009187561
164,7.71,7.5,315,54.4,26.65190665,0.458562529
180,8.05,1.8,372,44.4,24.87679723,0.877554626
183,8.14,1.8,308,65.2,33.33935528,1.080807968
213,7.91,9,432,44.4,39.56520441,4.512366564
250,8.9,3.3,301,41.2,24.15786003,28.33688355
176,8.08,7.3,344,41.9,19.52827917,0.770440923
233,9.43,6.1,492,50.2,32.06506473,12.29781851
201,8.24,9,380,60.1,28.38108558,2.551036171
156,7.38,4.5,474,34.3,27.35470744,0.246366878
221,8.5,0.2,337,45.6,27.84628681,6.765068163
166,8.17,7,191,35.8,19.23658628,0.404054175
235,8.23,1.6,321,36.2,24.08074428,13.55819727
168,7.97,5.4,202,53.2,34.21315037,0.454942915
112,6.93,12.4,250,49.6,33.24587055,0.007452819
163,7.6,7.1,278,62.9,39.22765486,0.380006575
241,9.65,2.3,202,34.5,19.93767304,18.29615659
218,8.02,9.5,265,71.2,56.11078955,5.841143881
223,8.7,1.6,305,65.8,40.23803039,7.522955828
142,7.52,9.4,158,67,50.74126114,0.143744091
252,8.62,3.2,295,39.2,29.76474982,31.22077457
183,8.33,2.7,265,60.5,38.24937546,1.046844348
188,8.5,8.3,477,71.1,39.43937834,1.415463998
106,6.67,10.7,315,35.4,26.1835277,0.046383886
275,9.29,0.2,212,31.2,19.87826124,96.91087732
151,7.68,7.6,144,52,35.18721599,0.196585422
223,8.44,4,468,45.3,26.46198851,7.408524139
229,8.47,6,272,39.9,16.51606946,10.14586639
217,8.66,2.3,286,46.1,28.29791085,5.518825237
234,8.45,4.9,232,34.5,22.05273334,12.93892914
239,8.74,1.9,281,42.5,26.02465885,16.59410731
128,7.78,8.1,296,33,30.5024319,-0.00194766
219,8.43,5.5,50,52.4,36.90697964,6.204924438
131,7.42,7.4,296,36.3,26.95577461,0.068305046
137,7.2,7.2,281,56,37.00534865,0.030752282
247,8.93,0.3,222,49.2,34.54351537,24.37649401
221,8.34,4.6,250,57.9,34.38362559,6.727476571
153,7.8,10,387,38.4,23.04759227,0.213667612
269,8.16,2.8,433,38.7,20.76450153,72.07267277
176,7.44,8.6,283,43.2,21.94771797,0.778866401
95,6.9,12.7,392,37.9,14.4754723,0.118866275
146,7.41,9.9,429,47.6,38.86081035,0.105897715
233,8.71,1.1,213,59.2,39.42908476,12.32214778
189,8.37,3.8,99,43.6,29.75122872,1.449400784
208,8.56,7.5,279,40.2,12.5663031,3.608536042
229,8.68,2.9,298,31.5,16.0789182,10.0388807
218,8.4,1.6,316,32.4,30.58168094,5.867768746
269,9.13,4.1,280,51.1,29.8116504,72.13174078
150,7.5,8,328,47.4,32.68095223,0.235411703
168,8.05,7.9,199,43.6,24.45339693,0.483694708
151,7.49,8.5,370,44.4,27.11889192,0.266558933
163,8.16,5.3,400,44.1,19.23766574,0.374082141
170,7.96,8.3,174,47.5,28.27943303,0.606871992
171,8.3,5.4,276,44.9,28.29708859,0.529716489
147,7.43,9.5,328,45.6,30.58017223,0.115823699
161,7.71,11.3,435,49.7,27.42342415,0.518065405
206,8.09,10,320,51.1,25.28414122,3.234598506
194,8.16,1.4,108,43.5,30.12089641,1.819195555
235,9.49,4.5,237,62.3,37.06141103,13.58414342
200,8.09,8.8,318,69.9,49.72688391,2.399391249
257,8.84,2.4,263,51.7,30.37188612,40.01165106
225,8.62,9.5,434,43.9,22.50889628,8.30599582
250,8.93,4.4,322,45.8,25.92734578,28.32889262
111,6.57,12.3,289,57.3,27.9123994,0.033710572
197,8.97,3.4,518,59.4,32.93516287,2.089427324
168,7.89,6.5,219,50,32.46138948,0.60873924
156,7.93,7.6,378,46.5,36.03191081,0.241335374
225,8.34,4.5,448,41.6,23.54295693,8.232747781
182,7.84,5.1,109,36.8,20.57987775,1.00188942
184,8.48,6.6,225,66.4,52.10269263,1.118884684
125,6.95,8.7,355,48.8,20.77638549,0.082437186
285,8.69,4.1,559,58.8,29.2719636,158.4484239
189,8.46,7.5,406,42,20.51101986,1.357782365
226,8.6,3.8,183,42.1,19.64589224,8.76848007
266,9.11,0.2,257,36.5,19.17567223,62.23183309
212,8.46,8,452,42.2,30.28247362,4.329551905
174,8.3,4.7,294,41.4,24.47777609,0.662916052
181,8.07,9.1,240,40.8,30.24508102,0.942150646
219,8.47,0.2,275,33.4,14.21953776,6.225331236
198,8.31,3.1,214,40,31.73653539,2.20078093
205,8.44,2.5,175,51.4,32.93925724,3.136913621
128,7.56,9.7,175,43.7,20.45610981,0.045282397
182,8.09,4.8,542,38.3,30.05795533,1.010722265
205,7.97,0.2,209,46,25.6299522,3.082976636
210,8.65,1.6,347,49.1,28.40813868,3.967918874
230,9.08,2,221,47.6,31.21908615,10.55313045
169,7.93,4.6,379,43.5,28.31602124,0.462098226
172,7.63,8.8,235,33.5,24.44210072,0.711383323
138,7.59,6.4,260,44.3,30.6999586,0.144907715
155,7.81,5.6,316,34.9,24.5129344,0.202477934
136,7.13,7.8,213,46,34.5959151,0.073552971
206,8.3,7.5,308,31,26.6168557,3.196167382
226,8.7,5.9,290,36.1,20.31846135,8.815261329
173,7.82,4.3,327,34.1,24.20718185,0.707970008
206,8.59,4.1,392,44,20.59811885,3.242184133
133,7.78,9.2,286,36.4,21.6774445,0.116989723
85,6.9,16.3,288,36.9,26.56710817,-0.012240787
241,9.19,2,363,31.9,18.91465868,18.18015114
207,8.45,1.5,262,30,29.07899976,3.380117236
162,7.28,6,390,44.2,34.83497777,0.344229092
214,9.03,8.5,360,42.6,19.95319692,4.907351205
184,8.36,5,325,55.1,26.37751311,1.10065924
201,8.4,5.5,210,49.8,30.97815461,2.551714623
158,8.37,5.6,291,43,19.18151643,0.319362379
266,9.15,1.4,257,52.1,35.11081087,62.3109394
163,7.43,6,376,38.9,18.87274673,0.367007993
258,9.19,6.5,506,40,25.98077952,41.95185726
194,8.16,3.9,349,48.7,25.84704774,1.888069022
157,7.78,11.1,365,43.2,25.17892231,0.270378203
137,7.89,7.9,234,49.2,30.64361997,0.073206191
102,6.53,14.1,376,35.4,22.78398892,-0.042256739
242,9.02,0.2,344,38,18.31589155,19.05738498
167,8.32,3.4,456,64,29.66241283,0.449511515
154,7.96,6.7,430,46.2,28.82358997,0.283221303
246,8.58,2.9,197,40.4,23.9932082,23.33424372
174,8.17,4.6,527,57.3,43.04992068,0.710109448
253,8.95,0.2,267,46.7,24.40449683,32.82694038
229,9.01,5.6,440,40.8,23.89173611,10.09228703
248,9.26,4.3,268,46.7,22.35944963,25.64962828
90,6.9,11.1,337,50.1,37.81721066,-0.025021752
130,7.7,5.7,215,44.6,23.16366032,0.121740298
183,7.93,3.1,326,45.6,27.11984543,0.999630123
253,8.67,0.2,191,37.3,21.60857791,32.94288794
176,7.96,7.8,334,45.5,35.4548519,0.739954583
144,7.88,9.7,170,44.5,33.32829888,0.165027568
179,7.76,4.3,221,59.2,32.79495829,0.825900691
161,8.18,8.9,337,51.5,17.56017839,0.327293974
153,7.58,8.8,292,58,27.08379464,0.174362131
137,7.52,10.6,227,52.3,38.35671126,0.10021322
206,8.37,5.3,386,32.7,21.63382249,3.276390506
290,9.01,6.1,285,43.2,29.67611595,202.6652135
239,8.9,2.8,340,44.3,31.53494263,16.45957531
212,8.69,0.2,321,44,14.21087648,4.33339645
148,8.31,5.8,114,54.7,39.83555745,0.162736375
177,7.58,4.4,293,51.2,25.42819044,0.856802173
172,8.19,5.7,318,47,27.09079931,0.554657473
147,8.01,8,346,44.2,30.31622845,0.169878881
276,9,3.7,488,58.6,32.77357979,101.8890831
192,8.87,5.6,273,59.6,34.0894416,1.630213652
166,7.49,8.3,380,41.8,24.10575892,0.387268579
227,8.1,4,193,38.3,29.38557455,9.110915401
139,7.96,5.1,339,54,31.93092198,0.144935956
123,6.95,9.7,245,49.6,30.35279693,0.036152948
193,8.01,8.9,418,32.3,27.43373577,1.68960175
203,7.62,6.6,258,43.7,25.26212595,2.79168711
174,8.27,3.8,296,37.9,20.93647756,0.679254863
175,8.1,5.3,339,51.8,33.96534967,0.788668442
203,8.44,3.7,224,46.6,31.69581457,2.804454716
217,8.22,4,457,62.3,46.17773155,5.645897216
144,7.66,10.1,126,43.7,21.34268436,0.185838332
142,7.59,9.9,299,62.8,47.11616987,0.134164054
179,8.18,2.8,357,34.1,27.27204553,0.786181976
197,8.61,4.4,230,40.9,28.02547656,2.065074821
171,7.79,3.7,282,49.3,35.83210564,0.557681817
204,7.9,2.6,381,34.1,24.69991604,2.952835787
143,7.55,5,359,44.7,30.2444153,0.211905587
151,7.31,7.9,210,48.1,31.11144808,0.332364213
199,8.38,2.5,223,53.8,33.15178477,2.38465036
173,8.44,10.7,275,53.7,31.68635512,0.635691811
173,8.57,4.4,233,53.8,35.04119188,0.554522989
252,9.51,1.9,278,37.7,25.15606654,31.24942841
129,7.51,10.1,340,63.7,50.58431226,0.078248493
294,9.6,0.2,423,68.8,40.65668032,246.748097
204,8.54,5.5,143,65,50.69047794,2.998604463
218,8.78,0.2,242,54.1,20.6518594,5.907956848
158,7.97,6.2,250,43.7,29.08979874,0.23741429
180,8.61,6.1,276,47.2,34.74110281,0.948804127
256,8.71,2.3,228,38.4,30.94730329,38.0445388
210,8.87,2.7,270,32.3,23.61837058,3.971929833
150,7.86,1.6,292,42.3,21.70969893,0.210989786
184,8.11,6.5,278,51.6,38.7950426,1.124768985
153,8.23,5.4,326,39,28.3308616,0.241446687
177,8.78,2.8,145,39.7,17.09416662,0.698625384
244,8.93,5.9,350,39.5,18.44663139,21.13486865
192,8.55,5.6,316,41.8,26.61757027,1.654563725
146,6.97,6.2,149,52,32.21530742,0.156966658
122,7.41,8,227,51.9,41.27417156,0.058204048
107,7.05,7.8,139,41.3,25.39851399,0.031710805
175,7.54,8.1,188,49.5,30.2355544,0.719793977
147,7.66,7.4,202,45.1,23.10854756,0.260873769
231,8.18,2,271,53.3,26.74636756,11.12118354
176,8.55,3.5,205,37.3,19.65701715,0.752873832
210,8.58,5.6,346,35.8,15.64315397,4.021608892
195,8.49,3,156,32.7,29.12903301,1.947946744
202,8.58,4.4,325,40.6,31.34931343,2.731346261
249,8.76,1.1,217,62,32.25511693,26.95075202
236,8.75,4.4,518,62.5,40.66810573,14.33560791
203,8.45,5.2,392,58.7,39.25896734,2.812218015
101,6.98,12.1,270,48.5,27.43014037,0.111960962
208,8.26,6.7,281,41.6,30.02727025,3.524380778
124,7.82,7.1,193,52.4,28.12490718,0.058751435
156,7.87,7.3,405,43.4,22.36521186,0.340897907
185,8.07,5.8,68,41.5,20.04984148,1.123218674
100,7.38,7.7,163,51.2,28.57817195,-0.019909585
139,7.33,8.2,407,72.6,57.14309864,0.073736022
146,7.25,6.8,131,61.2,31.82924615,0.117623575
195,8.57,5.9,434,31.4,27.10058937,1.873379716
131,7.47,9.7,307,55.6,38.67910188,0.097973879
161,7.65,13,230,33.2,20.92348559,0.255302883
282,9.25,0.2,236,38.5,31.74770123,136.7439638
142,6.79,12.6,203,69,47.05613435,0.201679801
130,7.14,10.7,447,35.3,24.72360711,0.179386474
269,8.9,1.9,228,46.1,31.02582048,72.21081934
214,8.77,5.3,347,40,27.55443745,4.86264457
81,7.09,12.2,347,43,29.10939754,-0.079373995
234,8.81,4.1,341,33.9,20.3851511,12.87185643
136,7.72,9,290,37.6,32.16273084,0.086508944
195,7.83,6.3,262,51.6,29.92649939,1.930413888
256,8.69,1.4,184,41.7,31.77737572,38.06158309
215,8.43,3.3,421,58.6,32.41008013,5.005090665
118,6.96,9.3,326,55.3,32.92032569,0.127179416
88,6.95,8.3,136,40,22.77145766,0.05539333
154,7.68,4.1,349,51.8,29.46520096,0.264193526
216,8.33,5.7,217,57.9,26.61097535,5.384406313
215,8.23,9.1,429,64.8,39.73227454,5.001084382
212,8.13,8.4,438,54.6,31.6610918,4.405868563
198,8.09,1.6,337,41.4,25.51277271,2.170398447
239,9.44,0.2,296,43,26.36735114,16.53283941
146,8.44,5.1,250,35.4,24.94535318,0.167208141
246,9.38,1.5,287,38.8,29.274964,23.31039935
226,8.77,1.9,383,31.6,36.09978743,8.772096692
174,8.26,7.4,359,58.4,39.12697545,0.675094535
144,7.57,4.9,448,42.9,33.28002461,0.205178558
248,8.71,0.6,288,62.7,34.30935255,25.6254364
200,7.99,6.4,361,46.3,25.38666778,2.387500059
255,9.07,0.2,62,41.8,27.5794174,36.31597731
135,7.97,9.4,414,40.8,19.0520964,0.117984307
195,7.69,9.9,255,44.6,17.69105395,1.792626552
155,7.35,4.3,179,44.7,22.66522249,0.19683963
170,8.26,5,296,46.9,26.89201937,0.544197368
252,9.32,3.5,195,44.4,27.89541335,31.31215637
116,6.79,10.1,424,62.1,45.27790186,0.033839282
112,6.78,11.7,169,56.3,38.52179597,0.063190065
189,8.35,0.4,237,58.8,22.47845137,1.458898941
192,8.55,6,175,39,27.5616035,1.718815138
184,7.94,4.6,330,64.3,42.21717185,1.106161483
133,7.42,4.6,209,47.6,35.51377071,0.087230924
221,8.61,0.2,164,45,23.15455842,6.719891512
170,8.05,7.8,283,42.3,26.7746669,0.559202799
120,7.23,11.1,451,38.4,21.12162173,0.018805256
196,8.23,4.7,349,45.5,29.95830903,1.942075676
192,7.97,3.5,240,39.3,22.71385577,1.626267085
116,7.48,8.1,373,58.1,34.41438372,0.089680603
205,8.44,5,609,61,42.04658167,2.999573507
121,7.76,8.2,258,54.4,30.58165244,0.028423104
254,9.09,3.9,322,37.4,28.98429306,34.50666962
185,7.57,5,278,37.4,24.42115705,1.114320405
239,8.97,3,339,53.4,36.75782861,16.51534728
257,9.05,3.1,459,45.6,26.16192833,40.00637946
101,7.21,8.5,328,39,29.68673625,0.016966562
126,7.12,14.3,183,41.7,16.47101855,-0.059628512
175,8.04,3.9,302,49.5,33.83907435,0.837315911
219,9.11,0.2,232,41.4,35.89511591,6.159570259
202,7.82,5,265,57.9,46.73797344,2.70664277
175,8.57,0.5,131,38,26.25293803,0.722431328
199,8.37,7.8,312,70.2,53.78867638,2.358504968
236,9.26,1.3,298,46.5,30.42053305,14.27636675
233,8.99,7.5,339,34.4,34.33179475,12.27227118
158,7.27,10.1,416,65.6,38.32328996,0.326086397
202,8.04,8.3,406,48.2,29.42361937,2.626812664
230,8.95,4.3,422,62,36.58188693,10.64074477
173,8.24,0.2,102,51.8,32.79609908,0.619297442
148,8.56,5.4,314,47.2,25.35608687,0.308684978
209,8.52,3.9,234,59.7,33.20264307,3.690441562
221,8.93,5.3,464,34.1,17.34175772,6.784354018
177,8.1,4,343,47.8,33.93561033,0.823268132
178,8.15,4.9,381,56.1,43.4333867,0.846926149
185,8.06,4.5,138,38.8,27.90412288,1.129506731
271,9.14,1.9,290,40.7,34.33229848,79.55295398
208,8.46,3.6,342,48.6,31.17995089,3.599149698
176,8.17,6.2,509,36.1,30.27354846,0.743755192
149,7.15,6.9,155,37,25.31958853,0.107801535
245,8.65,3.4,261,57.4,33.10151977,22.16331856
260,8.48,0.6,210,54.5,34.6550485,46.35229454
180,8.08,9.2,429,49.9,27.06176866,0.915058294
196,8.48,6.9,552,54.1,38.42206396,1.938025303
185,8.21,7.3,497,54.7,30.89958433,1.182787447
179,8.02,7,415,65.3,35.84559207,0.931755583
122,7.25,8.2,288,59.7,35.32627922,0.075108642
188,8.46,5.2,386,34,27.00988475,1.286457032
117,7.1,6.9,196,43,12.86307978,0.019113796
266,9.01,0.2,457,48,30.42651687,62.26662079
215,8.22,3.1,302,57.9,41.12533811,5.035670814
214,8.85,5.6,158,47.7,21.79168476,4.716923515
225,8.66,3.8,382,56.6,37.81194453,8.331760135
137,7.94,11.3,279,31.2,21.37871616,0.067885609
137,7.86,8.1,346,34.3,25.5808308,0.080681476
240,9.13,1.1,233,48.1,35.14679875,17.40554012
193,8.24,4.4,313,54.3,36.83313068,1.678988322
116,7.04,6.8,371,55.7,26.46635612,0.081220022
197,8.7,5.2,187,49.5,34.0141985,2.028096543
198,8.11,1.3,305,45.7,17.56860448,2.178816945
180,8.11,3.6,204,50.6,32.73053481,0.902644174
262,8.83,1.3,272,36.7,27.91508518,51.07437047
207,9.08,0.3,50,38.8,24.92925795,3.387809965
173,7.82,8.9,240,59.3,42.08105224,0.640907281
189,8.07,3.9,109,33.6,24.5136877,1.44448347
179,7.97,6.3,336,43.7,27.8472284,0.780299749
205,8.67,1.7,216,53.6,35.83891613,3.08172322
226,7.77,4.3,309,51.3,38.4652383,8.743141133
189,8.17,6,237,55.2,35.70298998,1.384008214
142,7.3,5,467,47.2,24.45158022,0.151210645
256,9.09,1.3,315,40.8,25.2650943,38.09147809
169,8.12,6.9,235,54.4,27.28718137,0.541030054
283,8.85,1.2,359,55.6,36.74660828,143.6587226
137,7.88,12,570,49.3,27.6538247,0.103224057
282,9.35,0.9,291,36.7,25.52462556,136.7126809
190,7.81,6.3,286,56.3,33.46176969,1.349916797
191,8.59,5.5,286,54.9,31.06812098,1.552138188
159,7.93,10.7,306,34.5,11.91481947,0.34417701
220,8.38,2.3,267,44.2,25.96052092,6.507625026
176,8.12,7.8,502,49.4,30.58350012,0.716706645
199,8.36,10.2,414,42.2,27.80236614,2.396246452
246,8.76,4.5,255,49.7,30.61411861,23.29307253
219,8.08,4.4,230,39.8,27.49955624,6.176151014
176,7.23,7.9,413,62.3,45.17528266,0.808083902
172,8.19,2.7,410,48.7,39.27554666,0.575599342
144,7.54,5.3,379,40.8,27.40862268,0.131783695
177,7.61,7.7,146,35.7,33.21951357,0.901871763
270,8.95,0.2,436,42.4,21.6159463,75.78316689
184,8.06,0.5,289,35.3,22.45751195,1.185039068
264,8.9,3.6,421,40.2,24.83445428,56.3459973
223,8.95,5.7,249,35.2,21.46762046,7.50166066
195,8.06,5.9,434,39.5,25.34910562,1.914158888
153,7.45,8.6,292,61.6,38.94192061,0.255214865
142,7.95,6.6,164,34.7,21.62586874,0.089564236
174,7.96,5.1,371,32.6,16.26391719,0.675692994
62,7.05,12.4,139,48.3,30.98582129,-0.051136075
96,7.16,12.5,184,49.3,19.85261515,0.050194715
163,7.86,6.8,251,42.5,29.33308287,0.447049939
272,9.64,0.2,151,67.2,41.27327186,83.50430067
188,7.64,7.1,337,37,15.00057901,1.405021129
211,8.79,3.9,154,45.6,29.3811951,4.100920882
209,7.72,3.7,239,41.1,28.99681585,3.79573247
114,7.69,7.8,184,36.2,27.5386936,0.068281368
186,8.06,5.6,462,42.8,27.19696658,1.207410225
233,8.45,8.3,430,42.9,30.00997477,12.25050514
238,9.13,0.2,414,56,29.85321922,15.71513863
264,9.51,2.3,422,36.7,26.01345738,56.43986357
257,8.96,2.7,244,52.5,33.61690243,40.0299731
197,8.22,5.9,363,44.4,26.72495897,1.988513837
228,8.35,5.2,223,47.4,23.33799766,9.523289437
129,7.55,7.3,368,36.3,23.86121665,0.145308249
174,8.3,3,260,45,26.3403888,0.727061473
199,9.03,5.6,440,42.3,20.70462996,2.329035754
222,8.4,4.8,399,45.5,22.32966354,7.186479377
152,7.08,10.7,315,43.8,24.53188627,0.27454373
180,7.79,4.4,343,42.3,23.98777166,0.773275835
235,8.81,1.6,208,40.5,21.07082262,13.6078288
145,7.71,8.5,382,34,25.27403125,0.137829503
204,9,4.1,356,44.6,25.13648336,2.962008906
221,8.34,6.6,273,37.5,29.26430808,6.79279549
156,8.11,4.9,375,47.5,32.37148653,0.322000426
164,8.23,9.8,428,63.1,33.34576178,0.395189076
127,7.22,6.8,381,38.1,25.95159868,0.092800994
296,9.21,0.2,255,55.2,23.45833551,272.1859879
106,6.93,9.7,422,37.6,29.00324315,-0.030830677
186,8.74,5.4,400,40.2,26.09077905,1.277905242
209,8.1,5.1,433,39.2,25.88112641,3.810039007
206,8.21,7.8,436,52.4,32.78707706,3.341654498
104,6.81,8.8,232,53.9,33.50000268,0.02483603
114,7.02,8.9,310,50.8,26.38743607,0.091536374
195,7.87,10,380,46.5,23.37284235,1.994008646
147,7.55,9.3,296,48.1,27.94694839,0.164757355
120,7.73,6.8,461,39.2,22.3559433,-0.018749797
190,7.72,7.6,260,61.3,38.57963512,1.470106666
235,8.87,3.1,490,51.4,29.25903576,13.54161288
132,7.81,6.9,158,46.5,33.20001442,0.093103052
200,7.84,7.9,340,35.1,22.90653937,2.509195529
172,7.98,9.4,261,54.5,38.91685087,0.595215459
88,6.69,8.2,212,44.4,22.07778534,0.028473998
158,7.47,3.2,260,52,27.70331788,0.295793805
111,7.52,6.4,252,45.3,26.87627264,0.031468456
181,8.53,0.4,419,50.4,32.13400136,0.967712324
140,7.42,7.8,280,41.4,24.79604076,0.193156282
209,8.63,3.7,255,40.5,17.62036221,3.779059925
150,7.63,7.5,87,57,37.10076087,0.242904343
163,8.15,3.7,147,60.6,45.27912792,0.431754186
247,9.12,5.3,374,36.4,19.30532314,24.49796605
135,7.24,8.5,407,44.9,23.91780576,0.070395181
187,7.53,8,223,39.1,15.50146126,1.360117847
179,8.49,1.3,321,53,28.08735562,0.843779239
107,7.64,7.6,177,40.3,22.1431426,0.019719665
227,8.84,3.3,334,40.5,31.63367047,9.214356386
164,8,4.8,230,31.8,21.88156502,0.477316894
177,8.88,4.2,367,49.6,27.01270979,0.727499545
193,8.23,3.9,384,53.3,38.82676226,1.674042018
291,8.78,0.2,417,45.4,31.57718884,212.79658
149,7.32,11.8,362,32.6,20.65498802,0.206407956
191,8.54,0.2,257,42.9,21.92178716,1.565027282
162,7.77,9.8,308,44.1,37.50020216,0.39216569
263,9.15,1.3,444,45,24.73980621,53.73800284
275,9.07,0.3,377,49.9,30.67956446,96.87872103
223,8.83,0.2,104,40.1,22.67176851,7.46150157
240,8.86,3.1,253,44.8,17.98633304,17.38168434
193,8.08,5,378,42.5,23.98422846,1.755248633
