adr_usd,review_score,dist_center_mi,room_count,service_score,repeat_visit_intent
185,8.07,5.8,68,41.5,121.9195156255544
100,7.38,7.7,163,51.2,137.79462206356453
139,7.33,8.2,407,72.6,179.9729225927862
146,7.25,6.8,131,61.2,156.54497344132253
195,8.57,5.9,434,31.4,104.7756809336392
131,7.47,9.7,307,55.6,149.21235834591798
161,7.65,13,230,33.2,100.62157900415856
282,9.25,0.2,236,38.5,123.67396086674458
142,6.79,12.6,203,69,174.42335009283312
130,7.14,10.7,447,35.3,110.37514803648084
269,8.9,1.9,228,46.1,139.30235198440116
214,8.77,5.3,347,40,125.36354952759191
81,7.09,12.2,347,43,117.99653920177134
234,8.81,4.1,341,33.9,110.64698658398645
136,7.72,9,290,37.6,113.09590708683476
195,7.83,6.3,262,51.6,143.7570478055138
256,8.69,1.4,184,41.7,126.63865733199243
215,8.43,3.3,421,58.6,156.83270274387965
118,6.96,9.3,326,55.3,148.7688714161882
88,6.95,8.3,136,40,116.57278258359192
154,7.68,4.1,349,51.8,142.47486054498205
216,8.33,5.7,217,57.9,159.88621722065162
215,8.23,9.1,429,64.8,168.07245142553006
212,8.13,8.4,438,54.6,151.17164059557962
198,8.09,1.6,337,41.4,122.20417524737316
239,9.44,0.2,296,43,134.5674910437014
146,8.44,5.1,250,35.4,112.87835609067986
246,9.38,1.5,287,38.8,125.7659214260629
226,8.77,1.9,383,31.6,109.7210352301188
174,8.26,7.4,359,58.4,158.1145801806338
144,7.57,4.9,448,42.9,125.68511727390418
248,8.71,0.6,288,62.7,166.57313192970406
200,7.99,6.4,361,46.3,131.106791119128
255,9.07,0.2,62,41.8,131.98843542277635
135,7.97,9.4,414,40.8,122.20477594604785
195,7.69,9.9,255,44.6,123.54555435913257
155,7.35,4.3,179,44.7,123.42192509583523
170,8.26,5,296,46.9,134.69843796882176
252,9.32,3.5,195,44.4,137.13155880866898
116,6.79,10.1,424,62.1,157.94623348856956
112,6.78,11.7,169,56.3,147.7483749440413
189,8.35,0.4,237,58.8,161.26801075557563
192,8.55,6,175,39,124.09210965772589
184,7.94,4.6,330,64.3,168.41203346654993
133,7.42,4.6,209,47.6,132.1960361876382
221,8.61,0.2,164,45,129.54352528171546
170,8.05,7.8,283,42.3,125.04865518817564
120,7.23,11.1,451,38.4,111.80629988420888
196,8.23,4.7,349,45.5,130.20198083439183
192,7.97,3.5,240,39.3,118.09018753790492
116,7.48,8.1,373,58.1,155.62988634548734
205,8.44,5,609,61,160.21450302262284
121,7.76,8.2,258,54.4,146.74544142558915
254,9.09,3.9,322,37.4,120.4832745671654
185,7.57,5,278,37.4,110.8635848598901
239,8.97,3,339,53.4,152.31780588499845
257,9.05,3.1,459,45.6,137.27285984123145
101,7.21,8.5,328,39,113.983927681448
126,7.12,14.3,183,41.7,114.06820361247996
175,8.04,3.9,302,49.5,144.34291629173327
219,9.11,0.2,232,41.4,127.9394014850636
202,7.82,5,265,57.9,156.20238656317534
175,8.57,0.5,131,38,119.39753298207307
199,8.37,7.8,312,70.2,184.2993464696367
236,9.26,1.3,298,46.5,140.9353188927482
233,8.99,7.5,339,34.4,113.33041365754298
158,7.27,10.1,416,65.6,168.306335544417
202,8.04,8.3,406,48.2,134.7091823377522
230,8.95,4.3,422,62,170.46384602179864
173,8.24,0.2,102,51.8,143.8779233222313
148,8.56,5.4,314,47.2,142.03354670757645
209,8.52,3.9,234,59.7,158.69790220862362
221,8.93,5.3,464,34.1,111.92202551406795
177,8.1,4,343,47.8,137.7507597255185
178,8.15,4.9,381,56.1,153.97026509375732
185,8.06,4.5,138,38.8,116.72103792297
271,9.14,1.9,290,40.7,125.10643851558495
208,8.46,3.6,342,48.6,139.7889514094214
176,8.17,6.2,509,36.1,113.0213851736662
149,7.15,6.9,155,37,106.16943752547188
245,8.65,3.4,261,57.4,158.1191021342677
260,8.48,0.6,210,54.5,151.78046063138493
180,8.08,9.2,429,49.9,140.54945279396367
196,8.48,6.9,552,54.1,148.48996591479465
185,8.21,7.3,497,54.7,151.40226655660527
179,8.02,7,415,65.3,173.45714027391847
122,7.25,8.2,288,59.7,156.56247280635964
188,8.46,5.2,386,34,108.02882305925132
117,7.1,6.9,196,43,120.6287090606162
266,9.01,0.2,457,48,141.74220723910722
215,8.22,3.1,302,57.9,155.60590873736348
214,8.85,5.6,158,47.7,135.33470732996946
225,8.66,3.8,382,56.6,158.26850164005643
137,7.94,11.3,279,31.2,100.44104477675096
137,7.86,8.1,346,34.3,106.75287945846344
240,9.13,1.1,233,48.1,144.8578012180091
193,8.24,4.4,313,54.3,148.25171014078921
116,7.04,6.8,371,55.7,148.2914630803786
197,8.7,5.2,187,49.5,139.97863424236246
198,8.11,1.3,305,45.7,131.24091519385203
180,8.11,3.6,204,50.6,141.60288796172705
262,8.83,1.3,272,36.7,115.2126971511513
207,9.08,0.3,50,38.8,121.7305034701822
173,7.82,8.9,240,59.3,157.64231689414336
189,8.07,3.9,109,33.6,108.89139193746789
179,7.97,6.3,336,43.7,123.94890691314978
205,8.67,1.7,216,53.6,149.85049152157748
226,7.77,4.3,309,51.3,142.96281287709095
189,8.17,6,237,55.2,150.17238168004482
142,7.3,5,467,47.2,131.3545838433459
256,9.09,1.3,315,40.8,128.03445714012886
169,8.12,6.9,235,54.4,149.93567003066337
283,8.85,1.2,359,55.6,156.75651535894275
137,7.88,12,570,49.3,137.75458267804524
282,9.35,0.9,291,36.7,119.32264697281576
190,7.81,6.3,286,56.3,146.36370209594202
191,8.59,5.5,286,54.9,152.56411796304104
159,7.93,10.7,306,34.5,109.51056939272
220,8.38,2.3,267,44.2,131.37079768173632
176,8.12,7.8,502,49.4,138.28944329737348
199,8.36,10.2,414,42.2,129.7590058195503
246,8.76,4.5,255,49.7,143.77284883925765
219,8.08,4.4,230,39.8,120.25263171691778
176,7.23,7.9,413,62.3,163.29453355893705
172,8.19,2.7,410,48.7,136.91306755736147
144,7.54,5.3,379,40.8,118.39932275215055
177,7.61,7.7,146,35.7,114.24490496009956
270,8.95,0.2,436,42.4,129.5722583744418
184,8.06,0.5,289,35.3,114.16713684281662
264,8.9,3.6,421,40.2,122.02298671017095
223,8.95,5.7,249,35.2,114.7689663959142
195,8.06,5.9,434,39.5,120.05684780727368
153,7.45,8.6,292,61.6,161.05007709041158
142,7.95,6.6,164,34.7,107.13872748097832
174,7.96,5.1,371,32.6,105.03851854925074
62,7.05,12.4,139,48.3,129.69515869377602
96,7.16,12.5,184,49.3,135.82540665048853
163,7.86,6.8,251,42.5,126.46955017972132
272,9.64,0.2,151,67.2,178.1500246070252
188,7.64,7.1,337,37,114.67138692460028
211,8.79,3.9,154,45.6,132.66791100638304
209,7.72,3.7,239,41.1,121.70953853796529
114,7.69,7.8,184,36.2,112.16980527628525
186,8.06,5.6,462,42.8,125.50022034379714
233,8.45,8.3,430,42.9,126.75977208628044
238,9.13,0.2,414,56,157.9806420424841
264,9.51,2.3,422,36.7,121.82763740142892
257,8.96,2.7,244,52.5,151.56660563989743
197,8.22,5.9,363,44.4,125.7953260321961
228,8.35,5.2,223,47.4,133.27724146388195
129,7.55,7.3,368,36.3,113.21080468237636
174,8.3,3,260,45,133.5932576942231
199,9.03,5.6,440,42.3,130.62057789781537
222,8.4,4.8,399,45.5,134.4303568142221
152,7.08,10.7,315,43.8,124.834349835282
180,7.79,4.4,343,42.3,118.22815440306864
235,8.81,1.6,208,40.5,127.27055419327765
145,7.71,8.5,382,34,105.58002480687534
204,9,4.1,356,44.6,134.6612336612624
221,8.34,6.6,273,37.5,116.10968439823284
156,8.11,4.9,375,47.5,137.2939299081575
164,8.23,9.8,428,63.1,166.6530551020888
127,7.22,6.8,381,38.1,113.33700753177652
296,9.21,0.2,255,55.2,155.66863004272207
106,6.93,9.7,422,37.6,107.66442558179698
186,8.74,5.4,400,40.2,126.52002102088052
209,8.1,5.1,433,39.2,120.38180002254856
206,8.21,7.8,436,52.4,149.2985244783129
104,6.81,8.8,232,53.9,141.9803078651586
114,7.02,8.9,310,50.8,138.95000549165633
195,7.87,10,380,46.5,136.30083810803816
147,7.55,9.3,296,48.1,133.38703576992205
120,7.73,6.8,461,39.2,114.4040977744896
190,7.72,7.6,260,61.3,160.72129686572376
235,8.87,3.1,490,51.4,146.72191752002922
132,7.81,6.9,158,46.5,132.35336100901864
200,7.84,7.9,340,35.1,112.82460995463858
172,7.98,9.4,261,54.5,148.24771221498932
88,6.69,8.2,212,44.4,122.99600931160982
158,7.47,3.2,260,52,140.89463187020894
111,7.52,6.4,252,45.3,128.24090141705005
181,8.53,0.4,419,50.4,144.0781153270125
140,7.42,7.8,280,41.4,122.55642939207398
209,8.63,3.7,255,40.5,124.39263675498157
150,7.63,7.5,87,57,153.57568464006224
163,8.15,3.7,147,60.6,163.50772005956705
247,9.12,5.3,374,36.4,120.22954654171126
135,7.24,8.5,407,44.9,124.85121089563124
187,7.53,8,223,39.1,119.10376242838936
179,8.49,1.3,321,53,147.68808652141198
107,7.64,7.6,177,40.3,118.58843166470048
227,8.84,3.3,334,40.5,128.00810053542835
164,8,4.8,230,31.8,106.18816781229116
177,8.88,4.2,367,49.6,141.42001625517756
193,8.23,3.9,384,53.3,146.00385799916506
291,8.78,0.2,417,45.4,131.98384188125877
149,7.32,11.8,362,32.6,102.16369438523968
191,8.54,0.2,257,42.9,128.82968173583694
162,7.77,9.8,308,44.1,127.77822937471012
263,9.15,1.3,444,45,136.8543154284371
275,9.07,0.3,377,49.9,143.94621430802997
223,8.83,0.2,104,40.1,122.36260281780255
240,8.86,3.1,253,44.8,135.95357011214978
193,8.08,5,378,42.5,126.90212260521264
220,8.03,6,300,32.9,102.93166692534258
199,8.17,3.8,291,58.1,156.85970509830145
131,7.47,7.2,310,43.2,121.958104354487
184,7.68,7.4,296,33.8,101.85849785891608
185,7.62,2.4,285,42.4,123.2002402623763
230,9.27,0.2,324,40.3,126.7915765814828
201,8.75,5.4,204,63,169.55526146497382
190,8.6,8.6,231,57.1,157.63230508360246
240,8.92,3.4,232,42.4,131.1649303287932
180,7.71,5.7,338,32.7,104.36119500896676
204,8.58,4.9,184,60.5,162.66712831425295
79,7.14,8,50,42.5,119.23040149615744
247,9.09,2.6,112,55.7,156.58639441391767
180,8.23,5.4,448,61,163.77003397315792
175,6.98,8,251,51.4,135.62063929459592
127,8.04,6.4,291,32.1,104.03138226231523
99,7.85,6.2,204,40.1,121.38453452033583
147,7.15,10.2,247,40.5,116.53343981753105
157,7.96,3.8,335,38.6,115.60315866481122
238,9.34,9.3,279,36.8,119.74810966314892
212,8.39,4.6,399,42.7,129.57929709072397
240,8.7,1.5,275,43.8,132.20008792242825
136,7.7,9.9,161,46.2,133.3733516001632
109,7.27,8.7,156,40.9,118.42819571432354
159,8.01,7.5,276,45.9,132.67055019298084
136,6.88,10.8,202,54.1,141.48308617530373
91,6.87,10.2,291,47.3,130.16074133786066
177,8.15,3.3,270,54.8,149.33733291562152
100,6.55,11,282,37.2,104.30886899060852
158,7.87,8.9,248,36.6,112.80598593136828
130,8.14,6,112,51,146.59170243546285
249,8.65,1.5,278,48.8,142.4518286791461
141,7.14,6.8,388,69.7,177.4305067798925
208,9.04,9.2,383,58.2,162.3177114461863
181,8.31,8,256,52.7,145.73288564336758
206,8.68,7.3,318,32,106.99551828977944
143,8.18,7.5,501,50,140.35350378637617
203,8.3,5.3,341,44.4,129.36260044043584
182,7.6,3.6,360,47.1,133.60833456785943
193,8.07,10.4,326,52.4,142.7552729952692
149,8.38,13,295,38.1,119.83273226422556
239,8.78,4.9,569,46.1,137.82830497245178
177,7.52,8.5,349,56.1,147.4027552818625
170,7.61,8.1,531,48.9,137.12898399580106
206,8.1,4.7,333,62.9,171.16045330468904
222,8.22,4.7,356,63.5,166.98556903611677
140,7.52,14.4,434,63.3,165.88980848281614
201,8.18,6.2,316,35.6,110.5355963087612
173,8.14,5,293,43.1,129.1214228364056
178,7.87,5.2,324,45.8,131.44964943985312
116,7.62,11,464,45.2,131.80383078324633
207,8.22,0.3,444,46.2,130.58205854292618
191,8,7,486,53.3,146.49740422774929
249,8.94,1.8,315,43.3,130.24614964774878
214,8.48,2.8,275,46.6,135.20547026184744
144,7.97,5.7,308,42.1,122.790842514628
266,8.64,2.2,252,43.9,129.33231283893
152,7.43,8.5,338,53.1,144.5074447492329
254,9.52,1.3,461,37.3,120.02483857184612
171,7.73,10.1,440,41.6,124.81806186311258
78,6.82,11.7,333,41.1,113.92758682937252
261,8.81,4.9,449,48.4,141.05215830279056
127,7.83,7,340,48.4,137.01597857365294
229,8.34,4.8,326,36.9,116.67347067818524
227,8.18,6.4,469,66.4,173.09650667226725
118,7.08,16.8,371,40.6,116.7590039906568
215,8.74,5.4,399,47.1,139.82252830361935
172,7.89,3.5,215,35.3,107.13706816584713
162,7.34,8.2,297,46.7,128.53652057693586
176,7.33,9,407,40.7,118.69080462863324
230,8.38,5,302,42.4,125.81043604332602
244,8.91,2.5,383,36.5,120.290007987942
150,7.53,7.5,365,40.2,119.39650772670969
218,8.99,2,196,48.4,141.89433350482952
174,8.41,7.1,308,46.1,131.23448536492663
189,8.32,5,389,63.8,169.25220045065248
143,6.84,10.7,325,44.5,122.56716826360602
190,8.17,6,489,35.6,111.8453069729588
224,8.86,2.4,171,33.6,109.13688154588864
193,8.23,6.2,210,50,142.14731608765985
197,8.52,5.9,236,40.7,121.92208711938594
96,6.86,11.4,421,45.8,125.4475560371152
127,7.65,9.3,83,63.2,165.41285165890272
175,8.53,7.6,400,36.7,114.48296842197392
195,8.52,2.9,342,34.4,112.56598281136012
217,8.97,2.4,429,53.5,149.2169791966966
207,8.5,2.6,233,54.6,146.08045064207892
